10 90
50.0,150.0
100.0,150.0
100.0,0.0
100.0,100.0
100.0,250.0
0.0,150.0
0.0,100.0
50.0,100.0
0.0,250.0
0.0,0.0
1-2 c
1-6 c
5-2 c
4-8 c
8-4 c
8-1 c
1-8 c
6-1 c
4-3 c
3-10 c
7-6 c
6-9 c
7-8 c
6-7 c
8-7 c
3-4 c
4-2 c
7-10 c
10-3 c
5-9 c
9-6 c
9-5 c
2-1 c
2-4 c
10-7 c
2-5 c
3-1 nc
9-3 nc
2-9 nc
10-8 nc
4-9 nc
3-2 nc
8-6 nc
7-4 nc
10-5 nc
9-7 nc
8-3 nc
7-3 nc
4-6 nc
5-1 nc
8-5 nc
10-1 nc
2-10 nc
7-9 nc
10-4 nc
8-9 nc
3-8 nc
5-10 nc
1-9 nc
7-1 nc
2-3 nc
2-8 nc
5-7 nc
6-2 nc
3-6 nc
6-8 nc
9-4 nc
1-3 nc
6-4 nc
4-5 nc
1-7 nc
4-10 nc
1-4 nc
2-7 nc
3-7 nc
2-6 nc
5-3 nc
4-1 nc
5-6 nc
10-9 nc
8-2 nc
10-2 nc
6-10 nc
5-4 nc
9-2 nc
9-1 nc
8-10 nc
4-7 nc
7-5 nc
5-8 nc
9-8 nc
10-6 nc
1-10 nc
3-5 nc
6-5 nc
3-9 nc
9-10 nc
1-5 nc
6-3 nc
7-2 nc
