12 132
110.0,50.0
110.0,0.0
100.0,100.0
0.0,100.0
100.0,0.0
170.0,0.0
220.0,0.0
220.0,50.0
160.0,0.0
0.0,0.0
160.0,50.0
170.0,50.0
7-8 c
6-12 c
9-2 c
1-2 c
3-4 c
11-1 c
3-5 c
8-7 c
11-9 c
5-10 c
7-6 c
5-3 c
4-3 c
12-8 c
10-5 c
4-10 c
6-7 c
1-11 c
10-4 c
12-6 c
9-11 c
8-12 c
2-9 c
2-1 c
4-9 nc
9-10 nc
6-3 nc
5-7 nc
8-5 nc
3-8 nc
7-11 nc
3-7 nc
5-2 nc
3-6 nc
1-12 nc
5-6 nc
3-2 nc
10-12 nc
11-12 nc
6-9 nc
5-9 nc
5-1 nc
8-11 nc
4-5 nc
6-2 nc
1-10 nc
4-6 nc
4-1 nc
2-10 nc
12-11 nc
9-6 nc
11-4 nc
10-3 nc
4-8 nc
9-12 nc
10-11 nc
12-7 nc
2-3 nc
12-2 nc
9-7 nc
3-1 nc
1-4 nc
8-6 nc
10-9 nc
10-1 nc
1-9 nc
5-8 nc
2-8 nc
1-5 nc
2-5 nc
1-8 nc
11-2 nc
1-7 nc
6-10 nc
11-5 nc
8-9 nc
10-6 nc
11-7 nc
5-12 nc
6-5 nc
11-10 nc
6-11 nc
1-3 nc
8-2 nc
11-8 nc
4-12 nc
12-10 nc
7-1 nc
7-2 nc
5-11 nc
7-9 nc
8-3 nc
3-10 nc
9-1 nc
2-4 nc
5-4 nc
9-5 nc
4-11 nc
8-10 nc
10-8 nc
7-3 nc
6-4 nc
10-7 nc
9-4 nc
11-6 nc
2-11 nc
8-1 nc
1-6 nc
10-2 nc
3-12 nc
7-4 nc
9-3 nc
12-3 nc
7-5 nc
2-12 nc
3-9 nc
2-6 nc
12-5 nc
9-8 nc
7-12 nc
6-8 nc
12-9 nc
8-4 nc
12-1 nc
7-10 nc
12-4 nc
6-1 nc
2-7 nc
3-11 nc
11-3 nc
4-7 nc
4-2 nc
